Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max),Key Generation [bytes],Encapsulation [bytes],Decapsulation [bytes],nan,nan,nan,nan,nan,nan,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],nan_size,nan_size,nan_size,nan_size,nan_size,Total_Cycles,Max_RAM,Flash,Security_Level,EAS_Class 0,EAS_Class 1,EAS_Class 2
aimer256f,mem_opt,3344254,3344250,3344255,233973308,233969892,233976707,170620601,170617448,170623743,50040,77164,78568,,,,,,,27804,0,0,27804,,,,,,407938163.0,78568.0,27804.0,5,0.0,0.0,0.0
aimer256f,mem_opt,3344254,3344250,3344255,233973308,233969892,233976707,170620601,170617448,170623743,58.9,40.6,27.0,,,,,,,27804,0,0,27804,,,,,,407938163.0,27804.0,27804.0,5,0.0,0.0,1.239
aimer256f,ref,3344258,3344255,3344292,164484408,164483962,164484481,170648722,170647189,170651027,50040,573284,78716,,,,,,,27304,0,0,27304,,,,,,338477388.0,573284.0,27304.0,5,0.0,0.0,0.0
aimer256f,ref,3344258,3344255,3344292,164484408,164483962,164484481,170648722,170647189,170651027,58.9,28.0,27.0,,,,,,,27304,0,0,27304,,,,,,338477388.0,27304.0,27304.0,5,0.0,0.0,1.243
aimer256s,m4speed,2899956,2899949,2899989,1391295720,1391289067,1391297144,1321985344,1321984834,1321985426,50032,615856,116936,,,,,,,26372,0,0,26372,,,,,,2716181020.0,615856.0,26372.0,5,0.0,0.0,0.0
aimer256s,m4speed,2899956,2899949,2899989,1391295720,1391289067,1391297144,1321985344,1321984834,1321985426,67.7,32.2,28.0,,,,,,,26372,0,0,26372,,,,,,2716181020.0,26372.0,26372.0,5,0.0,0.0,1.246
aimer256s,m4stack,2899950,2899950,2899950,1712314043,1712314001,1712314175,1322034101,1322034066,1322034132,50032,76032,116936,,,,,,,25928,0,0,25928,,,,,,3037248094.0,116936.0,25928.0,5,0.0,0.0,0.0
aimer256s,m4stack,2899950,2899950,2899950,1712314043,1712314001,1712314175,1322034101,1322034066,1322034132,67.7,43.3,28.0,,,,,,,25928,0,0,25928,,,,,,3037248094.0,25928.0,25928.0,5,0.0,0.0,1.249
aimer256s,mem_opt,3344262,3344252,3344293,1752719642,1752719422,1752720844,1361337862,1361336718,1361338013,50040,76140,117044,,,,,,,27636,0,0,27636,,,,,,3117401766.0,117044.0,27636.0,5,0.0,0.0,0.0
aimer256s,mem_opt,3344262,3344252,3344293,1752719642,1752719422,1752720844,1361337862,1361336718,1361338013,58.9,42.4,27.2,,,,,,,27636,0,0,27636,,,,,,3117401766.0,27636.0,27636.0,5,0.0,0.0,1.237
cross-sha2-r-sdp-1-fast,ref,5614888,5590276,5650611,216566013,215745202,217395250,143008126,141803162,144002548,5200,218304,105604,,,,,,,14244,0,104,14348,,,,,,365189027.0,218304.0,14348.0,1,0.0,0.0,0.0
cross-sha2-r-sdp-1-fast,ref,5614888,5590276,5650611,216566013,215745202,217395250,143008126,141803162,144002548,90.2,86.3,91.0,,,,,,,14244,0,104,14348,,,,,,365189027.0,14348.0,14348.0,1,0.0,0.0,0.934
cross-sha2-r-sdp-3-fast,ref,8201340,8148672,8208465,241899820,241815860,242049039,123896179,123524606,124545760,9920,324764,158132,,,,,,,14744,0,128,14872,,,,,,373997339.0,324764.0,14872.0,1,0.0,0.0,0.0
cross-sha2-r-sdp-3-fast,ref,8201340,8148672,8208465,241899820,241815860,242049039,123896179,123524606,124545760,86.5,79.8,81.7,,,,,,,14744,0,128,14872,,,,,,373997339.0,14872.0,14872.0,1,0.0,0.0,0.93
cross-sha2-r-sdpg-1-fast,ref,2151163,2115797,2174685,116162852,116120174,116181821,87741423,87209686,88267494,2760,130824,69536,,,,,,,18409,0,104,18513,,,,,,206055438.0,130824.0,18513.0,1,0.0,0.0,0.0
cross-sha2-r-sdpg-1-fast,ref,2151163,2115797,2174685,116162852,116120174,116181821,87741423,87209686,88267494,92.9,90.9,92.1,,,,,,,18409,0,104,18513,,,,,,206055438.0,18513.0,18513.0,1,0.0,0.0,0.906
cross-sha2-r-sdpg-1-small,ref,2151212,2115845,2174734,391718680,391662566,391774957,368397996,367703173,369416443,2760,466288,245480,,,,,,,18674,0,104,18778,,,,,,762267888.0,466288.0,18778.0,1,0.0,0.0,0.0
cross-sha2-r-sdpg-1-small,ref,2151212,2115845,2174734,391718680,391662566,391774957,368397996,367703173,369416443,92.9,90.6,92.9,,,,,,,18674,0,104,18778,,,,,,762267888.0,18778.0,18778.0,1,0.0,0.0,0.902
cross-sha2-r-sdpg-3-fast,ref,3049185,2996960,3055381,136242875,136234139,136299163,84236165,83659318,85067521,4536,205148,108452,,,,,,,19609,0,128,19737,,,,,,223528225.0,205148.0,19737.0,1,0.0,0.0,0.0
cross-sha2-r-sdpg-3-fast,ref,3049185,2996960,3055381,136242875,136234139,136299163,84236165,83659318,85067521,90.5,87.2,86.9,,,,,,,19609,0,128,19737,,,,,,223528225.0,19737.0,19737.0,1,0.0,0.0,0.897
cross-sha2-r-sdpg-5-fast,ref,4302017,4249738,4308343,221761047,221758357,221762936,134821310,134547992,135025658,7408,398612,213684,,,,,,,18669,0,152,18821,,,,,,360884374.0,398612.0,18821.0,1,0.0,0.0,0.0
cross-sha2-r-sdpg-5-fast,ref,4302017,4249738,4308343,221761047,221758357,221762936,134821310,134547992,135025658,88.0,83.0,82.4,,,,,,,18669,0,152,18821,,,,,,360884374.0,18821.0,18821.0,1,0.0,0.0,0.903
cross-sha3-r-sdp-1-fast,ref,967965,963482,978861,58864285,58853041,58876854,30641221,30631654,30661122,4672,218400,105576,,,,,,,14472,0,208,14680,,,,,,90473471.0,218400.0,14680.0,1,0.0,0.0,0.0
cross-sha3-r-sdp-1-fast,ref,967965,963482,978861,58864285,58853041,58876854,30641221,30631654,30661122,67.1,61.2,72.0,,,,,,,14472,0,208,14680,,,,,,90473471.0,14680.0,14680.0,1,0.0,0.0,0.934
cross-sha3-r-sdp-3-fast,ref,2195040,2191401,2205040,90064203,90034522,90080511,48561804,48542657,48577008,9336,324688,157792,,,,,,,14884,0,208,15092,,,,,,140821047.0,324688.0,15092.0,1,0.0,0.0,0.0
cross-sha3-r-sdp-3-fast,ref,2195040,2191401,2205040,90064203,90034522,90080511,48561804,48542657,48577008,67.7,57.5,62.4,,,,,,,14884,0,208,15092,,,,,,140821047.0,15092.0,15092.0,1,0.0,0.0,0.931
cross-sha3-r-sdpg-1-fast,ref,290136,287742,297758,29963868,29960918,29974902,20093649,20078626,20103416,2328,130928,69560,,,,,,,18605,0,208,18813,,,,,,50347653.0,130928.0,18813.0,1,0.0,0.0,0.0
cross-sha3-r-sdpg-1-fast,ref,290136,287742,297758,29963868,29960918,29974902,20093649,20078626,20103416,71.8,74.8,77.1,,,,,,,18605,0,208,18813,,,,,,50347653.0,18813.0,18813.0,1,0.0,0.0,0.907
cross-sha3-r-sdpg-1-small,ref,290135,287741,297757,102853622,102847774,102861948,75137510,75126803,75159685,2328,466400,245512,,,,,,,18846,0,208,19054,,,,,,178281267.0,466400.0,19054.0,1,0.0,0.0,0.0
